"6","狙撃","エクシア(X)","4","D32鋼","2","80000","4-10","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","狙撃","アルケット(X)","4","結晶制御装置","2","80000","SV-4","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","狙撃","アルケット(Y)","4","ナノフレーク","2","80000","2-9","4","60","融合剤","3","100000","4","20","D32鋼","4","120000"
"6","狙撃","Ash(Y)","4","融合材","2","80000","1-12","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","狙撃","パゼオンカ(Y)","4","ナノフレーク","2","80000","2-10","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","狙撃","ロサ(X)","4","融合剤","2","80000","7-9","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","術師","シー(X)","4","D32鋼","2","80000","1-6","4","60","ナノフレーク","3","100000","4","20","結晶制御装置","4","120000"
"6","術師","シー(Y)","4","融合剤","2","80000","4-3","4","60","結晶制御装置","3","100000","4","20","ナノフレーク","4","120000"
"6","術師","パッセンジャー(X)","4","ナノフレーク","2","80000","2-2","4","60","融合剤","3","100000","4","20","D32鋼","4","120000"
"6","術師","パッセンジャー(Y)","4","結晶制御装置","2","80000","5-10","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","術師","モスティマ(Y)","4","結晶制御装置","2","80000","CB-5","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","術師","エーベンホルツ(X)","4","結晶制御装置","2","80000","3-7","4","60","D32鋼","3","100000","4","20","融合剤","4","120000"
"6","術師","エーベンホルツ(Y)","4","融合剤","2","80000","3-6","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","医療","ルーメン(X)","4","融合剤","2","80000","6-9","4","60","結晶制御装置","3","100000","4","20","ナノフレーク","4","120000"
"6","医療","ナイチンゲール(X)","4","結晶制御装置","2","80000","3-6","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","医療","シャイニング(Y)","4","結晶制御装置","2","80000","5-8","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","医療","ケルシー(X)","4","D32鋼","2","80000","5-10","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","補助","アンジェリーナ(Y)","4","ナノフレーク","2","80000","4-4","4","60","融合剤","3","100000","4","20","D32鋼","4","120000"
"6","補助","アンジェリーナ(X)","4","ナノフレーク","2","80000","2-7","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","補助","スズラン(X)","4","D32鋼","2","80000","TW-7","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","補助","リィン(Y)","4","融合剤","2","80000","3-4","4","60","D32鋼","3","100000","4","20","融合剤","4","120000"
"6","補助","マゼラン(X)","4","融合剤","2","80000","2-5","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","補助","マゼラン(Y)","4","融合剤","2","80000","2-2","4","60","結晶制御装置","3","100000","4","20","ナノフレーク","4","120000"
"6","特殊","ファントム(X)","4","融合剤","2","80000","3-6","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","特殊","リー(X)","4","D32鋼","2","80000","3-1","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","特殊","グレイディーア(X)","4","ナノフレーク","2","80000","SV-EX-5","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","特殊","ミヅキ(X)","4","D32鋼","2","80000","4-3","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","特殊","ミヅキ(Y)","4","D32鋼","2","80000","4-5","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","特殊","帰溟スペクター(X)","4","結晶制御装置","2","80000","SV-EX-1","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","特殊","帰溟スペクター(Y)","4","融合剤","2","80000","S4-1","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","特殊","緘黙テキサス(Y)","4","ナノフレーク","2","80000","CB-8","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","(小計)","★6","224","-","-","4480000","-","224","3360","-","-","5600000","224","1120","-","-","6720000"
"","","","Stage１","","","","","Stage2","","","","","Stage3","","","",""
"☆","職業","名前","モジュール数","素材","個数","龍門幣","ステージ名","モジュール数","データ補強棒数","素材","個数","龍門幣","モジュール数","データ補強機数","素材","個数","龍門幣"
"5","先鋒","ワイルドメイン(X)","2","上級源岩","3","40000","MN-2","2","20","上級砥石","4","50000","2","8","融合ゲル","5","60000"
"5","先鋒","リード(Y)","2","上級糖原","3","40000","9-5","2","20","結晶回路","4","50000","2","8","上級砥石","5","60000"
"5","先鋒","グラニ(X)","2","上級切削液","3","40000","GT-6","2","20","上級糖原","4","50000","2","8","上級異鉄","5","60000"
"5","先鋒","キアーベ(Y)","2","融合ゲル","3","40000","1-1","2","20","上級エステル","4","50000","2","8","上級砥石","5","60000"
"5","先鋒","テキサス(Y)","2","RMA70-24","3","40000","CB-3","2","20","上級砥石","4","50000","2","8","上級マンガン","5","60000"
"5","先鋒","ズィマー(X)","2","上級熾合金","3","40000","1-5","2","20","融合ゲル","4","50000","2","8","上級異鉄","5","60000"
"5","前衛","スワイヤー(X)","2","上級異鉄","3","40000","S2-3","2","20","RMA70-24","4","50000","2","8","上級アケトン","5","60000"
"5","前衛","エンカク(Y)","2","上級エステル","3","40000","S4-3","2","20","上級切削液","4","50000","2","8","上級熾合金","5","60000"
"5","前衛","バイビーク(X)","2","精錬溶剤","3","40000","3-7","2","20","上級マンガン","4","50000","2","8","上級切削液","5","60000"
"5","前衛","ウィスラッシュ(X)","2","上級エステル","3","40000","S3-6","2","20","上級アケトン","4","50000","2","8","上級異鉄","5","60000"
"5","前衛","Tachanka(X)","2","結晶回路","3","40000","S2-3","2","20","上級源岩","4","50000","2","8","上級マンガン","5","60000"
"5","前衛","フランカ(X)","2","上級異鉄","3","40000","9-3","2","20","上級装置","4","50000","2","8","上級マンガン","5","60000"
"5","前衛","アカフユ(X)","2","上級源岩","3","40000","3-8","2","20","上級糖原","4","50000","2","8","上級装置","5","60000"
"5","重装","オーロラ(X)","2","上級糖原","3","40000","3-8","2","20","融合ゲル","4","50000","2","8","上級アケトン","5","60000"
"5","重装","二アール(X)","2","上級アケトン","3","40000","1-12","2","20","上級エステル","4","50000","2","8","上級熾合金","5","60000"
"5","重装","ウン(Y)","2","上級装置","3","40000","S2-4","2","20","上級エステル","4","50000","2","8","上級糖原","5","60000"
"5","重装","バイソン(X)","2","上級異鉄","3","40000","3-7","2","20","上級合成コール","4","50000","2","8","上級砥石","5","60000"
"5","重装","クロワッサン(Y)","2","上級エステル","3","40000","2-8","2","20","結晶回路","4","50000","2","8","上級合成コール","5","60000"
"5","重装","ヘビーレイン(Y)","2","上級アケトン","3","40000","2-7","2","20","融合ゲル","4","50000","2","8","上級エステル","5","60000"
"5","狙撃","メテオリーテ(Y)","2","上級装置","3","40000","2-4","2","20","上級糖原","4","50000","2","8","上級マンガン","5","60000"
"5","狙撃","プロヴァンス(X)","2","融合ゲル","3","40000","S5-1","2","20","上級砥石","4","50000","2","8","結晶回路","5","60000"
"5","狙撃","ファイヤーウォッチ(Y)","2","上級アケトン","3","40000","2-10","2","20","上級マンガン","4","50000","2","8","上級砥石","5","60000"
"5","狙撃","アンドレアナ(X)","2","上級装置","3","40000","3-2","2","20","上級熾合金","4","50000","2","8","上級エステル","5","60000"
"5","狙撃","シェーシャ(X)","2","上級合成コール","3","40000","S3-6","2","20","上級源岩","4","50000","2","8","上級マンガン","5","60000"
"5","狙撃","アズリウス(Y)","2","融合ゲル","3","40000","3-4","2","20","精錬溶剤","4","50000","2","8","上級切削液","5","60000"
"5","狙撃","プラチナ(X)","2","RMA70-24","3","40000","5-7","2","20","精錬溶剤","4","50000","2","8","上級エステル","5","60000"
"5","狙撃","グレースロート(Y)","2","上級砥石","3","40000","2-10","2","20","上級糖原","4","50000","2","8","上級熾合金","5","60000"
"5","狙撃","エイプリル(Y)","2","上級マンガン","3","40000","5-3","2","20","融合ゲル","4","50000","2","8","上級装置","5","60000"
"5","狙撃","寒芒クルース(X)","2","上級熾合金","3","40000","3-8","2","20","RMA70-24","4","50000","2","8","上級装置","5","60000"
"5","狙撃","ルナカブ(Y)","2","結晶回路","3","40000","2-5","2","20","上級合成コール","4","50000","2","8","上級源岩","5","60000"
"5","狙撃","トギフォンス(X)","2","精錬溶剤","3","40000","4-6","2","20","上級源岩","4","50000","2","8","RMA70-24","5","60000"
"5","狙撃","エラト(X)","2","上級切削液","3","40000","S5-9","2","20","結晶回路","4","50000","2","8","精錬溶剤","5","60000"
"5","術師","レオンハルト(X)","2","RMA70-24","3","40000","3-5","2","20","上級アケトン","4","50000","2","8","融合ゲル","5","60000"
"5","術師","レイズ(X)","2","上級熾合金","3","40000","S3-6","2","20","上級装置","4","50000","2","8","精錬溶剤","5","60000"
"5","術師","スカイフレア(Y)","2","上級砥石","3","40000","S3-5","2","20","精錬溶剤","4","50000","2","8","上級切削液","5","60000"
"5","術師","炎獄ラヴァ(X)","2","上級マンガン","3","40000","WR-4","2","20","RMA70-24","4","50000","2","8","上級源岩","5","60000"
"5","術師","アステジーニ(Y)","2","上級合成コール","3","40000","4-3","2","20","結晶回路","4","50000","2","8","精錬溶剤","5","60000"
"5","術師","アイリス(X)","2","上級異鉄","3","40000","2-2","2","20","上級切削液","4","50000","2","8","RMA70-24","5","60000"
"5","術師","ハーモニー(X)","2","上級糖原","3","40000","6-5","2","20","上級マンガン","4","50000","2","8","上級源岩","5","60000"
"5","医療","セイロン(X)","2","上級切削液","3","40000","OF-3","2","20","上級装置","4","50000","2","8","結晶回路","5","60000"
"5","医療","ブリーズ(X)","2","上級マンガン","3","40000","4-1","2","20","上級異鉄","4","50000","2","8","上級アケトン","5","60000"
"5","医療","ウィスパーレイン(X)","2","上級源岩","3","40000","2-5","2","20","上級アケトン","4","50000","2","8","上級合成コール","5","60000"
"5","医療","フィリオプシス(X)","2","上級合成コール","3","40000","4-9","2","20","上級異鉄","4","50000","2","8","RMA70-24","5","60000"
"5","医療","サイレンス(Y)","2","上級砥石","3","40000","4-8","2","20","上級源岩","4","50000","2","8","上級装置","5","60000"
"5","医療","ワルファリン(X)","2","上級マンガン","3","40000","2-10","2","20","上級合成コール","4","50000","2","8","結晶回路","5","60000"
"5","医療","フォリニック(Y)","2","上級合成コール","3","40000","5-2","2","20","上級砥石","4","50000","2","8","融合ゲル","5","60000"
"5","医療","トゥイエ(X)","2","上級装置","3","40000","4-6","2","20","上級切削液","4","50000","2","8","精錬溶剤","5","60000"
"5","補助","グラウコス(X)","2","上級熾合金","3","40000","5-7","2","20","上級エステル","4","50000","2","8","上級糖原","5","60000"
"5","補助","イースチナ(Y)","2","結晶回路","3","40000","2-3","2","20","上級マンガン","4","50000","2","8","上級熾合金","5","60000"
"5","補助","シーン(X)","2","上級源岩","3","40000","3-1","2","20","上級糖原","4","50000","2","8","上級装置","5","60000"
"5","補助","メイヤー(X)","2","上級糖原","3","40000","2-9","2","20","上級マンガン","4","50000","2","8","上級源岩","5","60000"
"5","補助","プロヴィソ(X)","2","上級糖原","3","40000","4-7","2","20","上級異鉄","4","50000","2","8","RMA70-24","5","60000"
"5","特殊","スノーズント(X)","2","結晶回路","3","40000","4-6","2","20","精錬溶剤","4","50000","2","8","上級切削液","5","60000"
"5","特殊","クリフハート(X)","2","精錬溶剤","3","40000","MN-4","2","20","RMA70-24","4","50000","2","8","上級糖原","5","60000"
"5","特殊","マンティコア(X)","2","上級切削液","3","40000","1-9","2","20","上級アケトン","4","50000","2","8","上級糖原","5","60000"
"5","特殊","キララ(X)","2","上級源岩","3","40000","3-1","2","20","上級熾合金","4","50000","2","8","上級エステル","5","60000"
"5","特殊","カフカ(Y)","2","上級砥石","3","40000","2-7","2","20","上級異鉄","4","50000","2","8","上級合成コール","5","60000"
"5","特殊","ウユウ(X)","2","上級アケトン","3","40000","3-7","2","20","上級切削液","4","50000","2","8","結晶回路","5","60000"
"5","特殊","ベナ(Y)","2","精錬溶剤","3","40000","2-3","2","20","上級熾合金","4","50000","2","8","上級合成コール","5","60000"
"5","特殊","カゼマル(X)","2","上級エステル","3","40000","3-1","2","20","上級合成コール","4","50000","2","8","融合ゲル","5","60000"
"5","特殊","ワイフー(X)","2","融合ゲル","3","40000","4-7","2","20","上級装置","4","50000","2","8","上級源岩","5","60000"
"5","特殊","レッド(Y)","2","RMA70-24","3","40000","S4-5","2","20","上級熾合金","4","50000","2","8","上級異鉄","5","60000"
"5","(小計)","★5","124","-","-","2480000","-","124","1240","-","-","3100000","124","496","-","-","3720000"
"","","","Stage１","","","","","Stage2","","","","","Stage3","","","",""
"☆","職業","名前","モジュール数","素材","個数","龍門幣","ステージ名","モジュール数","データ補強棒数","素材","個数","龍門幣","モジュール数","データ補強機数","素材","個数","龍門幣"
"4","先鋒","ヴィグナ(Y)","1","マンガン","4","20000","3-3","1","15","切削液","5","25000","1","5","人工ゲル","6","30000"
"4","先鋒","クーリエ(X)","1","中級エステル","4","20000","S2-2","1","15","素子結晶","5","25000","1","5","切削液","6","30000"
"4","先鋒","スカベンジャー(X)","1","中級異鉄","4","20000","1-3","1","15","熾合金","5","25000","1","5","中級エステル","6","30000"
"4","前衛","ドーベルマン(Y)","1","中級糖原","4","20000","1-12","1","15","RMA70-12","5","25000","1","5","中級異鉄","6","30000"
"4","前衛","マトイマル(Y)","1","砥石","4","20000","S2-10","1","15","中級異鉄","5","25000","1","5","中級糖原","6","30000"
"4","前衛","コンビクション(X)","1","RMA70-12","4","20000","2-4","1","15","熾合金","5","25000","1","5","素子結晶","6","30000"
"4","前衛","カッター(Y)","1","合成コール","4","20000","2-7","1","15","中級エステル","5","25000","1","5","素子結晶","6","30000"
"4","前衛","ウタゲ(X)","1","中級装置","4","20000","1-12","1","15","砥石","5","25000","1","5","半自然溶剤","6","30000"
"4","重装","グム(X)","1","中級アケトン","4","20000","4-2","1","15","合成コール","5","25000","1","5","中級異鉄","6","30000"
"4","重装","マッターホルン(Y)","1","熾合金","4","20000","3-6","1","15","中級エステル","5","25000","1","5","人工ゲル","6","30000"
"4","重装","バブル(X)","1","半自然溶剤","4","20000","4-6","1","15","中級装置","5","25000","1","5","砥石","6","30000"
"4","重装","クオーラ(X)","1","素子結晶","4","20000","2-10","1","15","RMA70-12","5","25000","1","5","中級糖原","6","30000"
"4","狙撃","シラユキ(Y)","1","熾合金","4","20000","S2-11","1","15","中級アケトン","5","25000","1","5","半自然溶剤","6","30000"
"4","狙撃","アンブリエル(X)","1","中級エステル","4","20000","4-7","1","15","中級装置","5","25000","1","5","中級源岩","6","30000"
"4","狙撃","アシッドドロップ(X)","1","切削液","4","20000","2-8","1","15","マンガン","5","25000","1","5","中級異鉄","6","30000"
"4","狙撃","ジェシカ(Y)","1","砥石","4","20000","SV-4","1","15","RMA70-12","5","25000","1","5","マンガン","6","30000"
"4","狙撃","メテオ(X)","1","マンガン","4","20000","2-7","1","15","砥石","5","25000","1","5","熾合金","6","30000"
"4","狙撃","ヴァーミル(X)","1","合成コール","4","20000","3-1","1","15","素子結晶","5","25000","1","5","中級アケトン","6","30000"
"4","狙撃","メイ(X)","1","中級装置","4","20000","4-4","1","15","半自然溶剤","5","25000","1","5","RMA70-12","6","30000"
"4","狙撃","トター(X)","1","中級アケトン","4","20000","S3-5","1","15","素子結晶","5","25000","1","5","熾合金","6","30000"
"4","術師","ギターノ(X)","1","素子結晶","4","20000","1-10","1","15","中級糖原","5","25000","1","5","切削液","6","30000"
"4","術師","グレイ(Y)","1","半自然溶剤","4","20000","2-3","1","15","中級源岩","5","25000","1","5","RMA70-12","6","30000"
"4","術師","プリン(Y)","1","中級装置","4","20000","2-10","1","15","中級源岩","5","25000","1","5","中級エステル","6","30000"
"4","術師","インディゴ(X)","1","中級異鉄","4","20000","SV-5","1","15","中級糖原","5","25000","1","5","半自然溶剤","6","30000"
"4","医療","パフューマー(Y)","1","中級異鉄","4","20000","3-4","1","15","半自然溶剤","5","25000","1","5","合成コール","6","30000"
"4","医療","セイリュウ(Y)","1","中級エステル","4","20000","3-7","1","15","中級アケトン","5","25000","1","5","マンガン","6","30000"
"4","医療","ミルラ(X)","1","中級糖原","4","20000","6-11","1","15","中級装置","5","25000","1","5","合成コール","6","30000"
"4","医療","ガヴィル(Y)","1","中級源岩","4","20000","S4-5","1","15","人工ゲル","5","25000","1","5","中級糖原","6","30000"
"4","医療","ススーロ(X)","1","切削液","4","20000","4-7","1","15","中級アケトン","5","25000","1","5","熾合金","6","30000"
"4","補助","ポデンコ(X)","1","中級源岩","4","20000","4-6","1","15","中級異鉄","5","25000","1","5","RMA70-12","6","30000"
"4","補助","ディピカ(Y)","1","中級源岩","4","20000","2-4","1","15","合成コール","5","25000","1","5","中級装置","6","30000"
"4","補助","アーススピリット(Y)","1","中級糖原","4","20000","DM-2","1","15","マンガン","5","25000","1","5","素子結晶","6","30000"
"4","特殊","イーサン(X)","1","人工ゲル","4","20000","TW-3","1","15","半自然溶剤","5","25000","1","5","中級装置","6","30000"
"4","特殊","ロープ(X)","1","RMA70-12","4","20000","3-3","1","15","人工ゲル","5","25000","1","5","中級源岩","6","30000"
"4","特殊","グラベル(X)","1","中級アケトン","4","20000","4-8","1","15","人工ゲル","5","25000","1","5","砥石","6","30000"
"4","特殊","ジェイ(X)","1","人工ゲル","4","20000","S3-2","1","15","マンガン","5","25000","1","5","中級アケトン","6","30000"
"4","(小計)","★4","36","-","-","720000","-","36","540","-","-","900000","36","180","-","-","1080000"
